first name, last name, email, age, color
CHARLES, HILL, charles.hill@gmail.com, 18, yellow
ERNEST, BENNETT, ernest.bennett@gmail.com, 18, red
KENNETH, BELL, kenneth.bell@gmail.com, 18, green
DAVID, FLORES, david.flores@gmail.com, 20, yellow
ANN, GRAY, ann.gray@gmail.com, 27, yellow
ANTONIO, STEWART, antonio.stewart@gmail.com, 24, orange
GERALD, WHITE, gerald.white@gmail.com, 28, blue
BOBBY, KELLY, bobby.kelly@gmail.com, 27, green
HARRY, WHITE, harry.white@gmail.com, 24, yellow
THERESA, LOPEZ, theresa.lopez@gmail.com, 25, green
NICOLE, YOUNG, nicole.young@gmail.com, 21, purple
RACHEL, HERNANDEZ, rachel.hernandez@gmail.com, 25, purple
GERALD, FOSTER, gerald.foster@gmail.com, 20, purple
JESSE, WOOD, jesse.wood@gmail.com, 23, yellow
PETER, TURNER, peter.turner@gmail.com, 27, yellow
STEPHANIE, MORRIS, stephanie.morris@gmail.com, 26, red
BRIAN, MILLER, brian.miller@gmail.com, 24, orange
JONATHAN, BELL, jonathan.bell@gmail.com, 26, green
STEVEN, MORRIS, steven.morris@gmail.com, 27, green
RANDY, COX, randy.cox@gmail.com, 24, yellow
MARK, ROSS, mark.ross@gmail.com, 18, yellow
THOMAS, MOORE, thomas.moore@gmail.com, 25, green
RYAN, WASHINGTON, ryan.washington@gmail.com, 26, yellow
DENNIS, COOPER, dennis.cooper@gmail.com, 21, red
NICHOLAS, BRYANT, nicholas.bryant@gmail.com, 25, yellow
VICTOR, GONZALEZ, victor.gonzalez@gmail.com, 26, blue
RICHARD, DIAZ, richard.diaz@gmail.com, 20, yellow
WANDA, MURPHY, wanda.murphy@gmail.com, 27, orange
STEVEN, PERRY, steven.perry@gmail.com, 20, orange
JOSEPH, BELL, joseph.bell@gmail.com, 23, blue
DAVID, WASHINGTON, david.washington@gmail.com, 20, yellow
RALPH, ROBINSON, ralph.robinson@gmail.com, 20, yellow
KATHERINE, THOMAS, katherine.thomas@gmail.com, 19, blue
JOSHUA, WASHINGTON, joshua.washington@gmail.com, 20, blue
JERRY, MARTINEZ, jerry.martinez@gmail.com, 18, blue
RUSSELL, BUTLER, russell.butler@gmail.com, 20, blue
DOROTHY, CAMPBELL, dorothy.campbell@gmail.com, 22, green
ANN, TORRES, ann.torres@gmail.com, 28, green
JUDITH, RIVERA, judith.rivera@gmail.com, 24, green
RAYMOND, ROGERS, raymond.rogers@gmail.com, 28, blue
JERRY, LONG, jerry.long@gmail.com, 23, purple
JOHNNY, CAMPBELL, johnny.campbell@gmail.com, 28, yellow
LAURA, GARCIA, laura.garcia@gmail.com, 19, green
LOUISE, GRIFFIN, louise.griffin@gmail.com, 24, red
DENISE, KING, denise.king@gmail.com, 20, purple
SARAH, HALL, sarah.hall@gmail.com, 22, yellow
ERNEST, ROGERS, ernest.rogers@gmail.com, 21, purple
WALTER, COOPER, walter.cooper@gmail.com, 21, yellow
CARLOS, SMITH, carlos.smith@gmail.com, 25, red
ADAM, JAMES, adam.james@gmail.com, 23, orange
HOWARD, TAYLOR, howard.taylor@gmail.com, 24, red
ANNA, EDWARDS, anna.edwards@gmail.com, 28, red
RALPH, BRYANT, ralph.bryant@gmail.com, 22, purple
ROGER, POWELL, roger.powell@gmail.com, 22, green
AMY, PETERSON, amy.peterson@gmail.com, 18, yellow
HAROLD, WHITE, harold.white@gmail.com, 21, yellow
BRANDON, DAVIS, brandon.davis@gmail.com, 25, green
JUSTIN, ROBERTS, justin.roberts@gmail.com, 22, orange
VICTOR, COOK, victor.cook@gmail.com, 20, purple
JUAN, CAMPBELL, juan.campbell@gmail.com, 27, orange
JOSHUA, MARTINEZ, joshua.martinez@gmail.com, 23, green
ALAN, STEWART, alan.stewart@gmail.com, 21, green
VICTOR, LEE, victor.lee@gmail.com, 19, red
